#8B008B,Magenta,Brilliant,Bear
#DA614E,Auburn,Brave,Deer
#87CEFA,Aqua,Bright,Eagle
#5B9C64,Emerald,Calm,Lemur
#FFDF00,Golden,Careful,Hawk
#9576B5,Purple,Charming,Iguana
#FFA07A,Coral,Cheerful,Jaguar
#CCCCFF,Lilac,Delightful,Kangaroo
#3A53A4,Navy,Fantastic,Lion
#3AB09E,Teal,Righteous,Owl
#DE6FA1,Pink,Graceful,Panda
#FF7E00,Orange,Jolly,Raven
#B03060,Maroon,Kind,Robin
#4F7942,Forest,Lively,Sparrow
#191970,Midnight,Wise,Tiger
#C0C0C0,Silver,Witty,Wolf
,,Studious,Penguin
,,Accountable,Turtle
,,Academic,Panther
,,Perfect,Gorilla
,,Peaceful,Jaguar
,,Assertive,Wombat
,,Clever,Cougar
,,Genuine,Seal
,,Genteel,Goldfish
,,Objective,Lemer
,,Ornate,